parti;groupe;
Comités républicains;Indépendant/micro-partis;
Agir;Indépendant/micro-partis;
Accolta Naziunali Corsa;Indépendant/micro-partis;
Périgord Expansion;Indépendant/micro-partis;
Extrême-Centre;Indépendant/micro-partis;
social-démocrate;Indépendant/micro-partis;
Union des écologistes;Indépendant/micro-partis;
Espoirs 93;Indépendant/micro-partis;
Solidarités;Indépendant/micro-partis;
Eusko alkartasuna;Indépendant/micro-partis;
Femme avenir;Indépendant/micro-partis;
Moselle debout;Indépendant/micro-partis;
Association pour les libertés en Europe;Indépendant/micro-partis;
Démocrates Ve;Indépendant/micro-partis;
Front national des rapatriés;Indépendant/micro-partis;
Politique autrement;Indépendant/micro-partis;
Clubs perspectives et réalités;Indépendant/micro-partis;
divers gauche;Indépendant/micro-partis;
Des villages dans la ville;Indépendant/micro-partis;
Ecologie et solidarités multiculturelles;Indépendant/micro-partis;
Mouvement communautaire juif laïc;Indépendant/micro-partis;
France cultures Islam et laïcité;Indépendant/micro-partis;
Dialogues-Cultures et identités;Indépendant/micro-partis;
Comité de soutien à la coopérative écologique;Indépendant/micro-partis;
Planning familial;Indépendant/micro-partis;
Acampado per la recounquisto de provenço Païs d'Oc;Indépendant/micro-partis;
Républicains de progrès de Léo Hamon;Indépendant/micro-partis;
Initiative socialiste et républicaine;Indépendant/micro-partis;
Association des Comités Malville;Indépendant/micro-partis;
Socialiste-démocrate;Indépendant/micro-partis;
Association pour la sauvegarde des sites de Malville et de Bugey;Indépendant/micro-partis;
Association pour la défense de l'environnement et de lutte contre la pollution;Indépendant/micro-partis;
Mouvement des gaullistes de gauche;Indépendant/micro-partis;
bio-humaniste;Indépendant/micro-partis;
Mouvement démocratique et socialiste de France;Indépendant/micro-partis;
Comité radical et radical-socialiste;Indépendant/micro-partis;
Rassemblement anti-nucléaire et écologique du Nord Cotentin;Indépendant/micro-partis;
Manche-Sud écologie;Indépendant/micro-partis;
Partis de la majorité;Indépendant/micro-partis;
radical giscardien;Indépendant/micro-partis;
Mouvement de la jeunesse communiste de France;Indépendant/micro-partis;
républicain giscardien;Indépendant/micro-partis;
Comité national Antimafia;Indépendant/micro-partis;
Rassemblement des indépendants pour la majorité nouvelle;Indépendant/micro-partis;
Fédération libérale des Hauts-de-Seine;Indépendant/micro-partis;
Sociaux-Démocrates;Indépendant/micro-partis;
gaulliste majoritaire;Indépendant/micro-partis;
Mouvement socialiste;Indépendant/micro-partis;
droite libérale indépendante;Indépendant/micro-partis;
Fédération française de démocratie chrétienne;Indépendant/micro-partis;
Jeunes Démocrates;Indépendant/micro-partis;
Mouvement pour l'indépendance de l'Europe;Indépendant/micro-partis;
gaulliste d'opposition;Indépendant/micro-partis;
Carrefours Société Nouvelle;Indépendant/micro-partis;
Rassemblement des usagers et contribuables;Indépendant/micro-partis;
Gauche socialiste et démocrate;Indépendant/micro-partis;
non politisé;Indépendant/micro-partis;
Société pour l'environnement de la région de Compiègne;Indépendant/micro-partis;
